Group,Old
Group 1,Group 107
Group 2,Group 58
Group 3,Group 18
Group 4,Group 16
Group 5,Group 17
Group 6,Group 10
Group 7,Group 14
Group 8,Group 15
Group 9,Group 22
Group 10,Group 20
Group 11,Group 21
Group 12,Group 19
Group 13,Group 29
Group 14,Group 26
Group 15,Group 25
Group 16,Group 27
Group 17,Group 24
Group 18,Group 28
Group 19,Group 30
Group 20,Group 69
Group 21,Group 70
Group 22,Group 99
Group 23,Group 34
Group 24,Group 33
Group 25,Group 31
Group 26,Group 23
Group 27,Group 36
Group 28,Group 35
Group 29,Group 51
Group 30,Group 38
Group 31,Group 119
Group 32,Group 37
Group 33,Group 100
Group 34,Group 117
Group 35,Group 118
Group 36,Group 52
Group 37,Group 53
Group 39,Group 87
Group 40,Group 95
Group 41,Group 89
Group 42,Group 79
Group 43,Group 55
Group 44,Group 43
Group 45,Group 40
Group 46,Group 50
Group 47,Group 42
Group 48,Group 12
Group 49,Group 13
Group 50,Group 68
Group 51,Group 11
Group 52,Group 88
Group 53,Group 67
Group 54,Group 60
Group 55,Group 48
Group 56,Group 49
Group 57,Group 6
Group 58,Group 62
Group 59,Group 2
Group 60,Group 3
Group 61,Group 1
Group 62,Group 76
Group 63,Group 80
Group 64,Group 75
Group 67,Group 9
Group 68,Group 44
Group 69,Group 46
Group 70,Group 90
Group 71,Group 63
Group 72,Group 72
Group 73,Group 71
Group 74,Group 56
Group 75,Group 57
Group 76,Group 93
Group 77,Group 73
Group 78,Group 64
Group 79,Group 65
Group 80,Group 59
Group 81,Group 102
Group 82,Group 94
Group 83,Group 115
Group 84,Group 97
Group 85,Group 96
Group 86,Group 54
Group 87,Group 92
Group 88,Group 91
Group 89,Group 47
Group 90,Group 45
Group 91,Group 8
Group 92,Group 7
Group 93,Group 39
Group 94,Group 116
Group 95,Group 103
Group 96,Group 104
Group 97,Group 105
Group 98,Group 121
Group 99,Group 120
Group 100,Group 81
Group 101,Group 122
Group 102,Group 123
Group 103,Group 66
Group 104,Group 78
Group 105,Group 77
Group 106,Group 74
Group 107,Group 61
Group 108,Group 85
Group 109,Group 82
Group 110,Group 83
Group 111,Group 84
Group 112,Group 98
Group 113,Group 32
Group 114,Group 86
Group 115,Group 113
Group 116,Group 112
Group 117,Group 110
Group 118,Group 111
Group 119,Group 114
Group 120,Group 109
Group 121,Group 101
Group 122,Group 106
Group 123,Group 108
Group 124,Group 5
Group 38,Group 41
Group 65,Group 4
Group 66,Group 124